model,train_val,parameters,n_features,ssr,r2,r2adj,mae,rmse,VIF,percBias,region,clust_method
raw_lasso,valnit,alpha0.01,42,178.8454854,0.171304129,-0.031051839,0.317708653,0.912052338,119.679702,-11.86147878,SEPlains,Ecoregion
raw_mlr,train,forwardklim80,21,15.47340434,0.818590683,0.809253439,0.125162046,0.189696234,6.231010359,-9.63E-14,SEPlains,Ecoregion
raw_mlr,valin,forwardklim80,21,45.22373889,0.654668056,0.636893617,0.256824353,0.324301535,6.270523831,6.150682306,SEPlains,Ecoregion
raw_mlr,valnit,forwardklim80,21,208.4490104,0.034133661,-0.070960604,0.346164698,0.984647288,5.001409921,-13.23369179,SEPlains,Ecoregion
strd_lasso,train,alpha0.01,26,16.6867679,0.804365277,0.791743682,0.131189623,0.196993495,47.68388993,2.20E-14,SEPlains,Ecoregion
strd_lasso,valin,alpha0.01,26,43.78133674,0.665682349,0.644113469,0.257051031,0.31908786,45.26541933,5.32057901,SEPlains,Ecoregion
strd_lasso,valnit,alpha0.01,26,186.2045714,0.137205174,0.017882485,0.311528271,0.930627624,27.9822091,-11.61260094,SEPlains,Ecoregion
strd_mlr,train,forwardklim79,22,15.47340434,0.818590683,0.808784774,0.125162046,0.189696234,6.231010359,-6.58E-14,SEPlains,Ecoregion
strd_mlr,valin,forwardklim79,22,22.63904565,0.827126508,0.817781995,0.163457543,0.229453576,6.270523831,-1.11E-13,SEPlains,Ecoregion
strd_mlr,valnit,forwardklim79,22,105.1550019,0.512755294,0.456925172,0.384723137,0.699351866,5.001409921,2.57E-14,SEPlains,Ecoregion
strd_PCA_lasso,train,alpha0.01nc32,24,24.2633381,0.715537997,0.698680989,0.171751857,0.237542349,1,1.61E-14,SEPlains,Ecoregion
strd_PCA_lasso,valin,alpha0.01nc32,24,49.16146296,0.624599292,0.602353324,0.276829685,0.338125692,1.03780484,4.507093114,SEPlains,Ecoregion
strd_PCA_lasso,valnit,alpha0.01nc32,24,181.5216482,0.1589039,0.052660182,0.339738034,0.918850769,1.90905545,-9.7175972,SEPlains,Ecoregion
strd_PCA_mlr,train,alpha0.01nc32,12,26.75793578,0.686291475,0.677263891,0.183820113,0.249454921,1,1.64E-14,SEPlains,Ecoregion
strd_PCA_mlr,valin,alpha0.01nc32,12,51.69937704,0.605219585,0.593858998,0.279040936,0.346743579,1.013239064,4.620719715,SEPlains,Ecoregion
strd_PCA_mlr,valnit,alpha0.01nc32,12,189.5907706,0.12151493,0.069327698,0.362299343,0.939051403,1.337393887,-9.839015594,SEPlains,Ecoregion
regr_precip,train,none,1,6.689316015,0.299025718,0.289679395,0.168503834,0.294744354,1,-1.25E-14,MxWdShld,Ecoregion
regr_precip,valin,none,1,7.865938171,0.17431105,0.163301864,0.221356806,0.319617023,1,7.282114621,MxWdShld,Ecoregion
regr_precip,valnit,none,1,1.273222715,0.547992413,0.529158764,0.16749102,0.221291899,1,-3.028192388,MxWdShld,Ecoregion
raw_lasso,train,alpha0.8,7,4.559095768,0.522251771,0.473784559,0.153666409,0.243329069,3.077605019,1.58E-16,MxWdShld,Ecoregion
